fecha,hora,cliente,tipo,monto
2025-06-02,12:33,Juan,ingreso,2091.26
2025-06-02,17:52,Jose,transferencia,25397.01
2025-06-02,18:30,Laura,egreso,77230.18
2025-06-02,15:25,Laura,inversion,51276.81
2025-06-02,18:08,Juan,transferencia,15818.26
2025-06-02,14:38,Cecilia,ingreso,14409.96
2025-06-02,15:47,Laura,transferencia,21129.48
2025-06-02,14:05,Juan,transferencia,77433.27
2025-06-02,12:42,Ana,transferencia,77106.72
2025-06-02,16:25,Ana,egreso,99547.17
2025-06-02,17:29,Pablo,egreso,36251.11
2025-06-02,16:30,Pablo,egreso,76198.35
2025-06-02,15:49,Laura,inversion,82541.22
2025-06-02,18:38,Cecilia,ingreso,34648.2
2025-06-02,13:38,Cecilia,ingreso,54134.16
2025-06-02,13:32,Jose,egreso,67912.25
2025-06-02,18:57,Jose,inversion,86649.48
2025-06-02,14:07,Jose,inversion,97444.36
2025-06-02,16:05,Laura,inversion,47254.87
2025-06-02,12:19,Pablo,ingreso,93038.7
2025-06-02,14:21,Pablo,transferencia,68183.97
2025-06-02,10:59,Pablo,ingreso,4472.95
2025-06-02,10:34,Juan,egreso,35839.87
2025-06-02,11:58,Cecilia,inversion,92668.79
2025-06-02,13:59,Laura,egreso,36103.58
2025-06-02,15:24,Pablo,inversion,41879.02
2025-06-02,13:50,Cecilia,egreso,44213.83
2025-06-02,17:31,Laura,egreso,46986.57
2025-06-02,9:05,Pablo,ingreso,57764.16
2025-06-02,12:28,Ana,egreso,69400.16
2025-06-02,12:59,Cecilia,inversion,11961.78
2025-06-02,17:36,Juan,ingreso,75676.66
2025-06-02,12:58,Laura,transferencia,99923.54
2025-06-02,16:55,Cecilia,ingreso,45007.82
2025-06-02,18:02,Juan,egreso,27120.16
2025-06-02,13:18,Jose,ingreso,88571.07
2025-06-02,15:01,Pablo,ingreso,43154.99
2025-06-02,17:01,Cecilia,transferencia,54398.94
2025-06-02,17:15,Juan,inversion,85625.16
2025-06-02,18:45,Jose,ingreso,11467.34
2025-06-02,14:28,Juan,egreso,98324.6
2025-06-02,15:27,Pablo,ingreso,2698.18
2025-06-02,9:08,Ana,inversion,48791.1
2025-06-02,12:08,Ana,inversion,42229.03
2025-06-02,13:55,Laura,egreso,36006.58
2025-06-02,8:00,Ana,egreso,35854.61
2025-06-02,14:24,Cecilia,ingreso,25433.17
2025-06-02,17:38,Cecilia,egreso,70899.39
2025-06-02,9:03,Ana,transferencia,81004.53
2025-06-02,8:06,Juan,inversion,97497.0
2025-06-02,10:49,Ana,egreso,68057.2
2025-06-02,11:11,Laura,inversion,31429.15
2025-06-02,12:59,Jose,ingreso,79752.56
2025-06-02,17:30,Ana,egreso,97862.64
2025-06-02,17:51,Cecilia,egreso,73608.19
2025-06-02,16:47,Pablo,egreso,95882.0
2025-06-02,9:37,Cecilia,inversion,63323.59
2025-06-02,10:00,Jose,inversion,62627.01
2025-06-02,11:07,Jose,egreso,71927.34
2025-06-02,14:56,Juan,egreso,27307.61
2025-06-02,18:38,Juan,transferencia,76427.05
2025-06-02,11:34,Juan,inversion,10607.92
2025-06-02,15:49,Ana,ingreso,14714.37
2025-06-02,12:06,Pablo,egreso,56990.96
2025-06-02,18:08,Laura,transferencia,73007.27
2025-06-02,18:55,Laura,inversion,54667.27
2025-06-02,9:08,Ana,inversion,39813.32
2025-06-02,16:37,Laura,egreso,85242.25
2025-06-02,12:11,Jose,egreso,67214.85
2025-06-02,8:18,Ana,transferencia,65687.95
2025-06-02,16:50,Cecilia,inversion,5734.39
2025-06-02,18:44,Juan,transferencia,81819.18
2025-06-02,13:07,Pablo,transferencia,62670.62
2025-06-02,9:02,Pablo,ingreso,67529.64
2025-06-02,16:38,Ana,inversion,46605.46
2025-06-02,15:03,Laura,egreso,3334.44
2025-06-02,18:03,Ana,egreso,10862.43
2025-06-02,16:10,Cecilia,ingreso,76570.58
2025-06-02,18:51,Laura,inversion,28708.7
2025-06-02,8:04,Ana,inversion,83199.13
2025-06-02,10:14,Laura,ingreso,70678.96
2025-06-02,9:19,Pablo,ingreso,75377.93
2025-06-02,17:34,Laura,ingreso,31891.2
2025-06-02,13:45,Cecilia,egreso,3962.83
2025-06-02,12:32,Juan,transferencia,14878.11
2025-06-02,16:35,Juan,inversion,88529.85
2025-06-02,8:21,Juan,ingreso,72046.71
2025-06-02,17:24,Jose,transferencia,61806.4
2025-06-02,9:39,Jose,inversion,65896.68
2025-06-02,18:39,Pablo,transferencia,32563.19
2025-06-02,17:25,Ana,ingreso,98612.97
2025-06-02,11:28,Laura,egreso,5292.09
2025-06-02,14:00,Pablo,ingreso,39453.46
2025-06-02,11:08,Cecilia,ingreso,54337.09
2025-06-02,17:56,Juan,inversion,38401.54
2025-06-02,16:35,Pablo,ingreso,38989.04
2025-06-02,12:05,Cecilia,ingreso,71923.49
2025-06-02,14:25,Juan,egreso,45454.79
2025-06-02,12:56,Ana,ingreso,84338.14
2025-06-02,15:13,Jose,egreso,92624.91
