fecha,hora,cliente,tipo,monto
2025-06-04,8:17,Jose,transferencia,89340.89
2025-06-04,13:25,Jose,inversion,77121.0
2025-06-04,13:27,Juan,ingreso,85427.34
2025-06-04,12:15,Jose,egreso,88592.14
2025-06-04,15:57,Laura,inversion,63755.14
2025-06-04,10:15,Jose,ingreso,66616.35
2025-06-04,15:03,Ana,egreso,24428.91
2025-06-04,8:53,Cecilia,ingreso,5482.36
2025-06-04,14:32,Pablo,inversion,99426.26
2025-06-04,12:33,Cecilia,egreso,90130.22
2025-06-04,17:10,Pablo,transferencia,82306.13
2025-06-04,9:21,Pablo,transferencia,45803.3
2025-06-04,12:47,Ana,egreso,35514.59
2025-06-04,16:02,Jose,ingreso,8975.98
2025-06-04,10:17,Cecilia,transferencia,48420.75
2025-06-04,18:10,Cecilia,egreso,24293.85
2025-06-04,9:15,Cecilia,inversion,86403.7
2025-06-04,8:31,Laura,transferencia,56748.4
2025-06-04,16:55,Juan,ingreso,67537.37
2025-06-04,8:04,Cecilia,transferencia,89793.05
2025-06-04,11:15,Pablo,inversion,17939.24
2025-06-04,18:46,Laura,ingreso,37323.38
2025-06-04,14:53,Juan,egreso,88081.59
2025-06-04,11:20,Laura,transferencia,51504.94
2025-06-04,13:30,Cecilia,egreso,29281.55
2025-06-04,18:22,Laura,egreso,68635.39
2025-06-04,16:32,Jose,ingreso,58682.78
2025-06-04,10:09,Ana,inversion,35187.88
2025-06-04,15:39,Juan,transferencia,72868.2
2025-06-04,18:50,Laura,transferencia,23892.7
2025-06-04,13:56,Jose,egreso,13977.16
2025-06-04,17:08,Juan,ingreso,49617.37
2025-06-04,11:17,Pablo,ingreso,44807.48
2025-06-04,12:41,Juan,ingreso,53906.78
2025-06-04,14:08,Laura,transferencia,53847.28
2025-06-04,11:34,Laura,inversion,86937.49
2025-06-04,13:44,Cecilia,transferencia,66610.03
2025-06-04,8:44,Pablo,transferencia,25455.01
2025-06-04,16:14,Pablo,egreso,78033.78
2025-06-04,10:03,Cecilia,ingreso,92152.79
2025-06-04,8:31,Jose,ingreso,3885.52
2025-06-04,17:07,Jose,inversion,66283.05
2025-06-04,14:32,Jose,transferencia,22972.78
2025-06-04,11:53,Pablo,inversion,28655.14
2025-06-04,14:40,Cecilia,egreso,43388.27
2025-06-04,16:56,Juan,transferencia,91825.67
2025-06-04,18:02,Juan,egreso,59142.4
2025-06-04,18:45,Cecilia,transferencia,42345.91
2025-06-04,8:11,Pablo,transferencia,41678.39
2025-06-04,13:05,Juan,ingreso,15477.57
2025-06-04,16:28,Pablo,transferencia,30474.54
2025-06-04,14:55,Pablo,egreso,87213.6
2025-06-04,13:41,Ana,ingreso,86037.83
2025-06-04,9:33,Juan,transferencia,77874.96
2025-06-04,9:31,Laura,transferencia,43523.81
2025-06-04,17:42,Ana,inversion,46316.46
2025-06-04,11:35,Ana,transferencia,56308.98
2025-06-04,9:36,Juan,transferencia,15272.99
2025-06-04,14:27,Laura,ingreso,96970.1
2025-06-04,16:59,Laura,egreso,34725.48
2025-06-04,14:24,Laura,egreso,64789.49
2025-06-04,10:47,Juan,transferencia,79566.61
2025-06-04,15:55,Jose,egreso,29130.36
2025-06-04,12:10,Jose,transferencia,36282.18
2025-06-04,12:52,Juan,transferencia,3296.84
2025-06-04,9:58,Laura,inversion,53690.01
2025-06-04,15:34,Jose,ingreso,89688.17
2025-06-04,8:26,Jose,inversion,61707.04
2025-06-04,13:08,Ana,inversion,92923.5
2025-06-04,14:35,Pablo,ingreso,77763.74
2025-06-04,16:24,Pablo,ingreso,89683.69
2025-06-04,13:33,Juan,inversion,22227.43
2025-06-04,18:14,Pablo,ingreso,91414.65
2025-06-04,8:01,Ana,egreso,42581.06
2025-06-04,10:13,Juan,ingreso,14679.66
2025-06-04,15:54,Cecilia,ingreso,74887.49
2025-06-04,15:26,Juan,ingreso,75112.71
2025-06-04,9:03,Laura,ingreso,75548.37
2025-06-04,17:01,Jose,inversion,7735.87
2025-06-04,18:01,Juan,ingreso,68502.65
2025-06-04,17:52,Laura,egreso,15214.77
2025-06-04,16:17,Jose,inversion,91311.78
2025-06-04,15:43,Ana,inversion,14270.44
2025-06-04,14:35,Cecilia,egreso,32491.58
2025-06-04,15:10,Jose,transferencia,83776.04
2025-06-04,13:04,Pablo,inversion,54461.09
2025-06-04,11:01,Pablo,egreso,85853.35
2025-06-04,18:49,Jose,inversion,33403.12
2025-06-04,12:02,Ana,egreso,76038.23
2025-06-04,8:11,Pablo,transferencia,69338.6
2025-06-04,18:20,Ana,transferencia,37009.41
2025-06-04,14:31,Ana,ingreso,83755.78
2025-06-04,17:00,Juan,transferencia,51445.49
2025-06-04,14:45,Cecilia,ingreso,70419.83
2025-06-04,9:33,Pablo,ingreso,80898.97
2025-06-04,17:22,Juan,ingreso,46399.64
2025-06-04,17:39,Juan,egreso,2944.58
2025-06-04,17:31,Ana,transferencia,37613.16
2025-06-04,12:45,Ana,egreso,41774.98
2025-06-04,10:13,Ana,ingreso,39351.38
